Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Sinambela, R., Mandang, T., Subrata, I.D.M., Hermawan, W.","57204938355;57189360615;55977057500;6602716827;","Application of an inductive sensor system for identifying ripeness and forecasting harvest time of oil palm",2020,"Scientia Horticulturae","265",,"109231","","",,7,"10.1016/j.scienta.2020.109231","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078452058&doi=10.1016%2fj.scienta.2020.109231&partnerID=40&md5=5b2fdf44499442c62982375dbfacbbbd",Article,"Final","",Scopus,2-s2.0-85078452058
"Misron, N., Aliteh, N.A., Harun, N.H., Tashiro, K., Sato, T., Wakiwaka, H.","6505728008;57192708910;55986733800;7202069301;26768210300;7004566116;","Relative estimation of water content for flat-type inductive-based oil palm fruit maturity sensor",2017,"Sensors (Switzerland)","17","1",,"","",,9,"10.3390/s17010052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007574614&doi=10.3390%2fs17010052&partnerID=40&md5=3a6bff0fb2e7261c476a2952fa1da86e",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85007574614
"Harun, N.H., Misron, N., Sidek, R.M., Aris, I., Wakiwaka, H., Tashiro, K.","55986733800;6505728008;35801306500;6603306751;7004566116;7202069301;","Dual resonant frequencies effects on an induction-based oil palm fruit sensor",2014,"Sensors (Switzerland)","14","11",,"21923","21940",,5,"10.3390/s141121923","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912018688&doi=10.3390%2fs141121923&partnerID=40&md5=c13e9654efba76e2796ba2af28a3f7bc",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84912018688
"Misron, N., Harun, N.H., Lee, Y.K., Sidek, R.M., Aris, I., Wakiwaka, H., Tashiro, K.","6505728008;55986733800;56023274200;35801306500;6603306751;7004566116;7202069301;","Improvement in sensitivity of an inductive oil palm fruit sensor",2014,"Sensors (Switzerland)","14","2",,"2431","2448",,8,"10.3390/s140202431","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893286586&doi=10.3390%2fs140202431&partnerID=40&md5=d99e549445ee9da0684ad3a66b179d52",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84893286586
"Aliteh, N.A., Misron, N., Aris, I., Sidek, R.M., Tashiro, K., Wakiwaka, H.","57192708910;6505728008;6603306751;35801306500;7202069301;7004566116;","Triple flat-type inductive-based oil palm fruit maturity sensor",2018,"Sensors (Switzerland)","18","8","2496","","",,4,"10.3390/s18082496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052140678&doi=10.3390%2fs18082496&partnerID=40&md5=6ffc4c93f341613cf6c421f7ca8cea9d",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85052140678
"Harun, N.H., Misron, N., Sidek, R.M., Aris, I., Ahmad, D., Wakiwaka, H., Tashiro, K.","55986733800;6505728008;35801306500;6603306751;7006597524;7004566116;7202069301;","Investigations on a novel inductive concept frequency technique for the grading of oil palm fresh fruit bunches",2013,"Sensors (Switzerland)","13","2",,"2254","2266",,18,"10.3390/s130202254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875179916&doi=10.3390%2fs130202254&partnerID=40&md5=c63342a5c9b5e4f210df5e883f63bc5d",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84875179916
"Yeow, Y.K., Abbas, Z., Khalid, K.","56023730400;7005822035;7004042433;","Application of microwave moisture sensor for determination of oil palm fruit ripeness",2010,"Measurement Science Review","10","1",,"7","14",,49,"10.2478/v10048-010-0002-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77249095470&doi=10.2478%2fv10048-010-0002-x&partnerID=40&md5=4a0f3b25ae86013738f95a734d69287f",Review,"Final","All Open Access, Gold",Scopus,2-s2.0-77249095470
"Hudzari, R.M., Ishak, W.W.W., Noorman, M.M.","57203644974;7004616193;16507234500;","Parameter acceptance of software development for oil palm fruit maturity prediction",2010,"Journal of Software Engineering","4","3",,"244","256",,17,"10.3923/jse.2010.244.256","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049314888&doi=10.3923%2fjse.2010.244.256&partnerID=40&md5=09ccdc1cc98c7c5d66f691af445a4c82",Article,"Final","",Scopus,2-s2.0-78049314888
"Aliteh, N.A., Minakata, K., Tashiro, K., Wakiwaka, H., Kobayashi, K., Nagata, H., Misron, N.","57192708910;57205768777;7202069301;7004566116;55727126900;57205762695;6505728008;","Fruit battery method for oil palm fruit ripeness sensor and comparison with computer vision method",2020,"Sensors (Switzerland)","20","3","637","","",,1,"10.3390/s20030637","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078221740&doi=10.3390%2fs20030637&partnerID=40&md5=327c8f143c878ae61c6c6dd222117e0a",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85078221740
"Quan, G.J., Shariff, A.R.B.M., Nawi, N.M.","57224194741;13612157400;57189925855;","Grading of maturity of oil palm fruit based on visible and NIR band",2020,"ACRS 2020 - 41st Asian Conference on Remote Sensing",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107184877&partnerID=40&md5=b6140d5c38cc8a3a923c6c41c8961085",Conference Paper,"Final","",Scopus,2-s2.0-85107184877
