Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Harun N.H., Misron N., Sidek R.M., Aris I., Wakiwaka H., Tashiro K.","55986733800;6505728008;35801306500;6603306751;7004566116;7202069301;","Dual resonant frequencies effects on an induction-based oil palm fruit sensor",2014,"Sensors (Switzerland)","14","11",,"21923","21940",,5,"10.3390/s141121923","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912018688&doi=10.3390%2fs141121923&partnerID=40&md5=c13e9654efba76e2796ba2af28a3f7bc","Air coil; Frequency characteristics; Induction; Inductive concepts; Maturity classification; Oil palm; Resonant frequency","Fruits; Grading; Inductive sensors; Natural frequencies; Oil shale; Comparative analysis; Comparative studies; Conventional methods; Frequency characteristic; Induction; Inductive concepts; Malaysian palm oil boards; Oil palm; Palm oil",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84912018688
"Misron N., Harun N.H., Lee Y.K., Sidek R.M., Aris I., Wakiwaka H., Tashiro K.","6505728008;55986733800;56023274200;35801306500;6603306751;7004566116;7202069301;","Improvement in sensitivity of an inductive oil palm fruit sensor",2014,"Sensors (Switzerland)","14","2",,"2431","2448",,9,"10.3390/s140202431","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893286586&doi=10.3390%2fs140202431&partnerID=40&md5=d99e549445ee9da0684ad3a66b179d52","Air coil; Frequency characteristics; Inductive; Inductive concepts; Maturity classification; Oil palm; Resonant frequency","Detection methods; Frequency characteristic; Inductive; Inductive concepts; Oil palm; Ripening process; Sensitivity difference; Visual inspection; Fruits; Inductive sensors; Natural frequencies; Sensors; Palm oil",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84893286586
"Aliteh N.A., Misron N., Aris I., Sidek R.M., Tashiro K., Wakiwaka H.","57192708910;6505728008;6603306751;35801306500;7202069301;7004566116;","Triple flat-type inductive-based oil palm fruit maturity sensor",2018,"Sensors (Switzerland)","18","8","2496","","",,5,"10.3390/s18082496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052140678&doi=10.3390%2fs18082496&partnerID=40&md5=6ffc4c93f341613cf6c421f7ca8cea9d","Air coil; Inductive concept; Maturity classification; Moisture content; Oil palm; Resonance frequency","Capacitance; Fruits; Inductive sensors; Moisture; Natural frequencies; Capacitance change; Coefficient of variation; Inductive concept; Inductive elements; Oil palm; Oil palm fruits; Resonance frequencies; Standard deviation; Palm oil",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85052140678
"Harun N.H., Misron N., Sidek R.M., Aris I., Ahmad D., Wakiwaka H., Tashiro K.","55986733800;6505728008;35801306500;6603306751;7006597524;7004566116;7202069301;","Investigations on a novel inductive concept frequency technique for the grading of oil palm fresh fruit bunches",2013,"Sensors (Switzerland)","13","2",,"2254","2266",,19,"10.3390/s130202254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875179916&doi=10.3390%2fs130202254&partnerID=40&md5=c63342a5c9b5e4f210df5e883f63bc5d","Air coil; Frequency characteristics; Inductive; Inductive concepts; Maturity classification; Oil palm; Resonant frequency","Critical factors; Frequency characteristic; Frequency techniques; Inductive; Inductive concepts; Oil palm; Preliminary studies; Resonant characteristics; Fruits; Inductance; Natural frequencies; Sensors; Palm oil; palm oil; vegetable oil; agriculture; air; Arecaceae; article; chemistry; equipment; fruit; growth, development and aging; methodology; Agriculture; Air; Arecaceae; Fruit; Plant Oils",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84875179916
"Yeow Y.K., Abbas Z., Khalid K.","56023730400;7005822035;7004042433;","Application of microwave moisture sensor for determination of oil palm fruit ripeness",2010,"Measurement Science Review","10","1",,"7","14",,49,"10.2478/v10048-010-0002-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77249095470&doi=10.2478%2fv10048-010-0002-x&partnerID=40&md5=4a0f3b25ae86013738f95a734d69287f","Dielectric constant; Microwave sensors; Moisture content; Oil palm fruits; Reflection coefficient; Vector network analyzer",,Review,"Final","All Open Access, Gold",Scopus,2-s2.0-77249095470
"Hudzari R.M., Ishak W.W.W., Noorman M.M.","57203644974;7004616193;16507234500;","Parameter acceptance of software development for oil palm fruit maturity prediction",2010,"Journal of Software Engineering","4","3",,"244","256",,17,"10.3923/jse.2010.244.256","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049314888&doi=10.3923%2fjse.2010.244.256&partnerID=40&md5=09ccdc1cc98c7c5d66f691af445a4c82","Color meter; Color recognition; Non-contact measurement; Oil palm maturity prediction; RGB pixel values","Color bands; Color recognition; Data-logging; Elaeis guineensis; Fruit ripeness; Image processing and analysis; Light intensity; Light meters; MicroSoft; Non-contact measurement technique; Noncontact measurements; Oil contents; Oil palm; Oil palm fruits; Physical measurement; RGB pixel values; Software development; Unripe fruits; Visual Basic 6.0; Color; Forecasting; Image processing; Instruments; Pixels; Software design; Fruits",Article,"Final","",Scopus,2-s2.0-78049314888
"Quan G.J., Shariff A.R.B.M., Nawi N.M.","57224194741;13612157400;57189925855;","Grading of maturity of oil palm fruit based on visible and NIR band",2020,"ACRS 2020 - 41st Asian Conference on Remote Sensing",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107184877&partnerID=40&md5=b6140d5c38cc8a3a923c6c41c8961085","Maturity; Oil palm; OPRiD; Ripeness; Spectrometer","Decision making; Fruits; Grading; Learning algorithms; Light sources; Machine learning; Remote sensing; Uranium metallography; Vanadium metallography; Vegetation; Classification results; Decision makers; Hardware engineers; Optical spectrometers; Overall accuracies; Public and private sector; Three categories; Vegetation index; Palm oil",Conference Paper,"Final","",Scopus,2-s2.0-85107184877
"Khalid K., Ghretli M.M., Abbas Z., Grozescu I.V.","7004042433;16232941800;7005822035;6603299272;","Development of planar microwave moisture sensors for hevea rubber latex and oil palm fruits",2006,"2006 International RF and Microwave Conference, (RFM) Proceedings",,,"4133542","10","15",,15,"10.1109/RFM.2006.331027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46249124368&doi=10.1109%2fRFM.2006.331027&partnerID=40&md5=67e125a78fed5d88e3af156d7a4db175","Latexometer; Moisture content; Moisture sensor","Antenna accessories; Ceramic capacitors; Control theory; Detectors; Dielectric losses; Fruit juices; Fruits; Latexes; Microstrip antennas; Microwave antennas; Microwaves; Military data processing; Moisture; Moisture control; Moisture determination; Moisture meters; Production control; Rubber; Sensors; (e ,3e) process; (Hi-Bi) waveguide; Dielectric constants; Fruit ripeness; International (CO); Microstrip (MSL); Microwave moisture; Microwave reflection; Moisture content (MC); Moisture sensors; Oil contents; Oil palm; Oil palm fruits; Planar structures; Rubber latexes; Sensor designs; State of the arts; Agricultural products",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-46249124368
"You K.Y., Wee F.H., Lee Y.S., Abbas Z., Lee K.Y., Cheng E.M., Khe C.S., Jamlos M.F.","56023730400;57215069158;57215068206;7005822035;55549501700;57219023469;55332159700;54915241200;","A Review of Oil Palm Fruit Ripeness Monitoring Using Microwave Techniques in Malaysia",2020,"IOP Conference Series: Materials Science and Engineering","767","1","012007","","",,1,"10.1088/1757-899X/767/1/012007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083116712&doi=10.1088%2f1757-899X%2f767%2f1%2f012007&partnerID=40&md5=fb6370d3357683d59823bb20b871db2b",,,Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85083116712
"Tantanawat T., Srimongkol S., Yuttawiriya R., Haewchin A., Sangkapes T., Hattha E.","6507080951;57211601644;57211603242;57201469011;35729178300;35728779200;","Development of a method for measuring oil content in oil palm mesocarp using a single-outlet piston press: a feasibility study",2020,"Journal of Food Measurement and Characterization","14","1",,"207","219",,,"10.1007/s11694-019-00282-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074576468&doi=10.1007%2fs11694-019-00282-6&partnerID=40&md5=947d893f361cae92b0cb8a36197821a8","Mesocarp; Oil content; Oil palm; Quality; Ripeness","Calibration; Design of experiments; Extraction; Image quality; Pistons; Presses (machine tools); Calibration equations; Full factorial design; Measurement precision; Mechanical extraction; Mesocarp; Oil contents; Oil palm; Ripeness; Palm oil",Article,"Final","",Scopus,2-s2.0-85074576468
"Bhatnagar S., Gordon M., Hall C., Hernandez D., MacLean A., Picone M., Purdy T., Sim H., Tissot G., Hu A.-P.","57211188471;57211191331;57211190621;57211193559;57211187347;57211187236;57211193319;57211191856;57211189145;7202699381;","NIR-based fruit ripeness sensor embodiments using low-cost LEDs and photodiodes",2019,"2019 ASABE Annual International Meeting",,,,"","",,1,"10.13031/aim.201900580","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084014870&doi=10.13031%2faim.201900580&partnerID=40&md5=cbb8830b440a7b5f5a95199fb927861a","Agricultural robotics; Fruit ripeness; Low-cost sensors","Costs; Graphical user interfaces; Infrared devices; Light emitting diodes; Photodiodes; Agricultural robotics; Calibration and measurements; Fruit ripeness; Low-cost sensors; Probe configuration; Spectral modifications; Stand-alone devices; Usage scenarios; Fruits",Conference Paper,"Final","",Scopus,2-s2.0-85084014870
"Chan Y.K., Koo V.C., Ang C.Y., Yee K.S., Chua M.Y.","9243982200;55663712200;54400773000;54401831700;35219571500;","Design and development of a C-band RF transceiver for uavsar",2011,"Progress In Electromagnetics Research C","24",,,"1","12",,6,"10.2528/PIERC11071908","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82755164254&doi=10.2528%2fPIERC11071908&partnerID=40&md5=17a88b7c6fcd2481fa1e5135af9a3378",,"Airborne radars; Airborne Systems; Design and Development; Field measurement; Flight test; ITS evaluation; Malaysia; Monitoring and management; Oil palm; Paddy fields; RF transceivers; Soil surfaces; Sensors; Space optics; Transceivers; Unmanned aerial vehicles (UAV); Unmanned vehicles; Synthetic aperture radar",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-82755164254
"Hale G., Lopresti J., Stefanelli D., Jones R., Bonora L.","13410068400;24168772400;26647101700;56164440100;57155058700;","Using non-destructive methods to correlate chilling injury in nectarines with fruit maturity",2013,"Acta Horticulturae","1012",,,"83","90",,9,"10.17660/actahortic.2013.1012.4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889045111&doi=10.17660%2factahortic.2013.1012.4&partnerID=40&md5=7edac7a5c8d200ebcd2e691829644f20","Cold storage; Ethylene; Firmness; Maturity stages; Stone fruit","Prunus persica nucipersica",Conference Paper,"Final","",Scopus,2-s2.0-84889045111
