 Oil palm;48
 Palm oil;48
 Fruits;40
 Elaeis;37
 Indonesia;22
 Arecaceae;18
 Elaeis guineensis;17
 Forestry;17
 Sensors;15
 fruit;15
 plantation;13
 Remote sensing;12
 article;12
 Fruit;11
 Oil palm plantations;11
 Fruit ripeness;11
 growth, development and aging;10
 Carbon;9
 Southeast Asia;9
 chemistry;9
 Moisture;8
 Microwaves;8
 Malaysia;7
 greenhouse gas;7
 Fluorescence;7
 physiology;7
 vegetable oil;7
 metabolism;7
 Oil palm fruits;7
 Biomass;7
 Sustainable development;7
 Vegetable oils;6
 Infrared devices;6
 Moisture content;6
 Fruit maturity;6
 Inductive concepts;6
Elaeis;6
 Temperature;6
 Synthetic aperture radar;6
 Grading;6
 peatland;6
 biomass;6
 Chlorophyll;6
 Agriculture;6
 Rubber;6
 monocotyledon;6
 Spectroscopy;6
 plant leaf;5
 Spatial variability;5
 fruit production;5
 Sunda Isles;5
 spatial variation;5
 land use change;5
 Carbon dioxide;5
 Mangifera;5
 Plant Leaves;5
 Vegetation;5
 carbon;5
 nonhuman;5
 palm oil;5
 Image processing;5
 nitrous oxide;5
 methane;5
Agricultural robots;5
 Volatile organic compounds;5
 Greenhouse gases;5
Electronic nose;4
Carbon sequestration;4
 Greater Sunda Islands;4
 Gas emissions;4
 Wireless sensor networks;4
 Maturity stages;4
 Blending;4
Air coil;4
 methodology;4
 Spectrum analysis;4
 Borneo;4
 Field robotics;4
 tree;4
 biofuel;4
 Fresh fruits;4
 Harvesting;4
Capacitance;4
 Sumatra;4
 Wetlands;4
 Metals;4
 Citrus fruits;4
 carbon sequestration;4
 Methane;4
 Plants (botany);4
 Forecasting;4
 Malus x domestica;4
 Neural networks;4
 Prediction model;4
 Tropics;4
 Mapping;4
 Ethylene;4
 Natural frequencies;4
 Quality;4
 Inductive;4
 land cover;4
 Maturity classification;4
Image processing;4
 color;4
 Soil organic carbon;4
 Ghana;4
 Trees;4
 soil;4
 carbon dioxide;4
 computer program;4
 Monitoring and management;4
 Glucose;3
 Soybean oil;3
 vapor pressure;3
 Frequency characteristics;3
 Space-based radar;3
 Frequency characteristic;3
 Space optics;3
Climate change;3
 Chemical sensors;3
 Soil;3
 Soxhlet extraction;3
 Water absorption;3
 Starch;3
 Jambi [Indonesia];3
 Data acquisition;3
 GPS;3
