19;Hasanuddin N.H., Wahid M.H.A., Shahimin M.M., Hambali N.A.M.A., Nazir N.S., Khairuddin N.Z., Ramli M.M., Isa S.S.M.;"57191665015;54785423400;37018545000;27567626900;57191665766;57191646995;55891565000;54790959500;";Design and Development of ZnO Based Gas Sensor for Fruit Ripening Detection;2016;MATEC Web of Conferences;78;;01109;;;;2.0;10.1051/matecconf/20167801109;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992349068&doi=10.1051%2fmatecconf%2f20167801109&partnerID=40&md5=50326a2658216087803e78454d918961;;"Ethylene; Gas detectors; Gas sensing electrodes; Manufacture; Zinc oxide; Computational approach; Design and Development; Detection system; Gas sensing applications; Maturity stages; Non destructive; Piezoelectric substrates; Sensitive layers; Fruits";Conference Paper;Final;All Open Access, Gold;Scopus;2-s2.0-84992349068
25;Jayaselan H.A.J., Ismail W.I.W., Ahmad D.;"40761544000;6603897473;7006597524;";Manipulator automation for Fresh Fruit Bunch (FFB) harvester;2012;International Journal of Agricultural and Biological Engineering;5;1;;7.0;12.0;;1.0;10.3965/j.ijabe.20120501.002;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859056471&doi=10.3965%2fj.ijabe.20120501.002&partnerID=40&md5=c8562f87b4d9570396ae95b540f3b173;"Automation; FFB; Interface; Manipulator";"Arecaceae; Elaeis";Article;Final;;Scopus;2-s2.0-84859056471
31;Geyer M., Herold B., Zude M., Truppel I.;"7101696383;7005202811;16305972400;7801465547;";Non-destructive evaluation of apple fruit maturity on the tree;2007;Vegetable Crops Research Bulletin;66;;;161.0;169.0;;14.0;10.2478/v10032-007-0018-4;https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953277722&doi=10.2478%2fv10032-007-0018-4&partnerID=40&md5=380e2639af4ee255e79d4fe35557b10c;"Apple fruit; maturity development; non-destructive indices; spectral measurement";;Article;Final;;Scopus;2-s2.0-77953277722
33;Willis L.B., Gil G.A., Lee H.L.T., Choi D.-S., Schoenheit J., Ram R.J., Rha C., Sinskey A.J.;"7005085399;55317405100;7501482158;49761077600;9040325000;35517089700;7003661795;35858283700;";Application of spectroscopic methods for the automation of oil palm culture;2008;Journal of Oil Palm Research;;SPEC. ISS. APRIL;;1.0;13.0;;5.0;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953145704&partnerID=40&md5=e38b2f48ee644c9634e991b3709152c6;"Cytometry; Glucose; Raman; Spectroscopy; UV fluorescence";Elaeis;Article;Final;;Scopus;2-s2.0-79953145704
34;Keshvadi A., Endan J.B., Harun H., Ahmad D., Saleena F.;"37016351800;6507161972;33167669000;7006597524;36992585200;";The effect of surface color on palm oil quality during the ripening process of fresh fruits;2011;Journal of Food, Agriculture and Environment;9;3-4;;61.0;67.0;;2.0;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-80655130276&partnerID=40&md5=aa68398041f6a60a621992287c927652;"FFB; Fruit surface color; Oil extraction and fatty acids; Oil palm";"fatty acid; linoleic acid; oleic acid; palm oil; palmitic acid; article; color; computer program; food quality; fruit; fruit ripening; maturity; measurement; nonhuman; plant seed; random sample; Soxhlet extraction; spectrophotometry; surface property; Elaeis; Elaeis guineensis";Article;Final;;Scopus;2-s2.0-80655130276
40;Masura S.S., Tahir N.I., Rasid O.A., Ramli U.S., Othman A., Masani M.Y.A., Parveez G.K.A., Kushairi A.;"26533147800;55317746600;6503985037;6507640491;55314595000;57200280588;7801435072;16833526200;";Post-genomic technologies for the advancement of oil palm research;2017;Journal of Oil Palm Research;29;4;;469.0;486.0;;14.0;10.21894/jopr.2017.00013;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040596432&doi=10.21894%2fjopr.2017.00013&partnerID=40&md5=458e5c1f13d655d34fd473943c83b2bb;"Genetic engineering; Omics research; Post-genomics technologies";;Article;Final;All Open Access, Bronze, Green;Scopus;2-s2.0-85040596432
43;Malinee R., Stratoulias D., Nuthammachot N.;"57222573963;56270527600;57204889352;";Detection of oil palm disease in plantations in krabi province, thailand with high spatial resolution satellite imagery;2021;Agriculture (Switzerland);11;3;251;;;;;10.3390/agriculture11030251;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103283415&doi=10.3390%2fagriculture11030251&partnerID=40&md5=5be5338cf7e7760bb290448939d94134;"Disease; Maximum likelihood classification; Oil palm; Spectroscopy; Vegetation index; WorldView-2";;Article;Final;All Open Access, Gold;Scopus;2-s2.0-85103283415
45;Iswari N.M.S., Wella, Ranny;"56593208200;57195938951;56118825200;";Fruitylicious: Mobile application for fruit ripeness determination based on fruit image;2017;Proceedings - 2017 10th International Conference on Human System Interactions, HSI 2017;;;8005025;183.0;187.0;;9.0;10.1109/HSI.2017.8005025;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030262284&doi=10.1109%2fHSI.2017.8005025&partnerID=40&md5=15a2807e497f87af5aaeda26c5a2dd46;"Brix; Fruit ripeness; Fruitylicious; Image processing; K-Nearest Neighbour";"Image processing; Nearest neighbor search; Processing; Brix; Conventional measurements; Fruit ripeness; Fruitylicious; Image processing - methods; K-nearest neighbor method; K-nearest neighbours; Measuring instruments; Fruits";Conference Paper;Final;;Scopus;2-s2.0-85030262284
46;Tu S., Xue Y., Zheng C., Qi Y., Wan H., Mao L.;"56472292000;12241464400;36629646600;57189216159;55541946400;37037971500;";Detection of passion fruits and maturity classification using Red-Green-Blue Depth images;2018;Biosystems Engineering;175;;;156.0;167.0;;36.0;10.1016/j.biosystemseng.2018.09.004;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054193292&doi=10.1016%2fj.biosystemseng.2018.09.004&partnerID=40&md5=86faabf96e0bd20a66d0d8735e0925fc;"DSIFT; Faster R-CNN; Fruit detection and maturity identification; Locality-constrained linear coding";"Classification (of information); Data acquisition; Fruits; Image classification; Image enhancement; Intelligent robots; Mathematical transformations; Neural networks; Support vector machines; Classification accuracy; Convolutional neural network; DSIFT; Faster R-CNN; Linear coding; Linear Support Vector Machines; Machine vision algorithm; Scale invariant features; Mapping";Article;Final;;Scopus;2-s2.0-85054193292
52;Nnodim C.T., Fath El-Bab A.M.R., Ikua B.W., Sila D.N.;"57213353069;17433761800;6506831585;6506117421;";Design and simulation of a tactile sensor for fruit ripeness detection;2019;Lecture Notes in Engineering and Computer Science;2019-October;;;390.0;395.0;;2.0;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083388205&partnerID=40&md5=4e20ca1aaea717f13d5fa244d18046fb;"Elastic modulus; Mango fruit; Simulation; Tactile sensor";"Compression testing; Design; Elastic moduli; ANSYS parametric design language; Design and simulation; Design procedure; Detailed design; High sensitivity; Measuring ranges; Mechanical damages; Universal testing machines; Fruits";Conference Paper;Final;;Scopus;2-s2.0-85083388205
